INF_ID,COL_ENG_NM,COL_KOR_NM,COL_EXP
OA-2524,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-2524,SERVICE,서비스명,Commissioner
OA-2524,START_INDEX,요청시작위치,정수입력
OA-2524,END_INDEX,요청종료위치,정수입력
OA-20317,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-20317,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-20317,SERVICE,서비스명,ChildCareInfoGR
OA-20317,START_INDEX,요청시작위치,정수입력
OA-20317,END_INDEX,요청종료위치,정수입력
OA-20307,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-20307,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-20307,SERVICE,서비스명,ChildCareInfoJR
OA-20307,START_INDEX,요청시작위치,정수입력
OA-20307,END_INDEX,요청종료위치,정수입력
OA-15750,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-15750,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-15750,SERVICE,서비스명,InfOuDataSed001
OA-15750,START_INDEX,요청시작위치,정수입력
OA-15750,END_INDEX,요청종료위치,정수입력
OA-15414,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-15414,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-15414,SERVICE,서비스명,bizSuggSelectionInfo
OA-15414,START_INDEX,요청시작위치,정수입력
OA-15414,END_INDEX,요청종료위치,정수입력
OA-10400,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-10400,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-10400,SERVICE,서비스명,DongdeamoonListLaborUnion
OA-10400,START_INDEX,요청시작위치,정수입력
OA-10400,END_INDEX,요청종료위치,정수입력
OA-12783,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-12783,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-12783,SERVICE,서비스명,YcChldcrEdu
OA-12783,START_INDEX,요청시작위치,정수입력
OA-12783,END_INDEX,요청종료위치,정수입력
OA-16108,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-16108,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-16108,SERVICE,서비스명,LOCALDATA_092805
OA-16108,START_INDEX,요청시작위치,정수입력
OA-16108,END_INDEX,요청종료위치,정수입력
OA-15384,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-15384,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-15384,SERVICE,서비스명,asbestosSampleInfo
OA-15384,START_INDEX,요청시작위치,정수입력
OA-15384,END_INDEX,요청종료위치,정수입력
OA-9815,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-9815,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-9815,SERVICE,서비스명,JongnoPublicHygieneBizLocManageDong
OA-9815,START_INDEX,요청시작위치,정수입력
OA-9815,END_INDEX,요청종료위치,정수입력
OA-9799,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-9799,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-9799,SERVICE,서비스명,JongnoPublicHygieneBizTreatment
OA-9799,START_INDEX,요청시작위치,정수입력
OA-9799,END_INDEX,요청종료위치,정수입력
OA-2298,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-2298,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-2298,SERVICE,서비스명,GuroFoodHygieneBizLocManage
OA-2298,START_INDEX,요청시작위치,정수입력
OA-2298,END_INDEX,요청종료위치,정수입력
OA-11529,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-11529,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-11529,SERVICE,서비스명,GaAdminMesurePublic
OA-11529,START_INDEX,요청시작위치,정수입력
OA-11529,END_INDEX,요청종료위치,정수입력
OA-11431,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-11431,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-11431,SERVICE,서비스명,SpFoodHygieneBizLocManageDong
OA-11431,START_INDEX,요청시작위치,정수입력
OA-11431,END_INDEX,요청종료위치,정수입력
OA-11314,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-11314,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-11314,SERVICE,서비스명,GnModelRestaurantApply
OA-11314,START_INDEX,요청시작위치,정수입력
OA-11314,END_INDEX,요청종료위치,정수입력
OA-11034,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-11034,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-11034,SERVICE,서비스명,ScPublicHygieneBizPublicUseFacility
OA-11034,START_INDEX,요청시작위치,정수입력
OA-11034,END_INDEX,요청종료위치,정수입력
OA-17089,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-17089,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-17089,SERVICE,서비스명,LOCALDATA_030709_GN
OA-17089,START_INDEX,요청시작위치,정수입력
OA-17089,END_INDEX,요청종료위치,정수입력
OA-10981,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-10981,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-10981,SERVICE,서비스명,NwFoodHygieneBizSaleImport
OA-10981,START_INDEX,요청시작위치,정수입력
OA-10981,END_INDEX,요청종료위치,정수입력
OA-10219,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-10219,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-10219,SERVICE,서비스명,JungguAdminMesureFood
